"date","revenue","profit","prem","trades"
"March 4","50892","50892","2.25","2"
"March 5","41077","41077","2.50","3"
"March 9","227348","227348","2.29","7"
"March 10","52719","52719","2.29","2"
"March 11","177302","177302","2.54","5"
"March 12","284432","284432","2.66","5"
"March 13","137409","137409","2.88","4"
"March 14","166743","166743","1.88","4"
"March 15","292233","292233","2.5","6"
"March 16","225321","225321","2.93","7"
"March 17","461362","461362","3.00","8"
"March 18","78910","78910","3.00","2"
"March 19","282777","282777","3.00","8"
"March 20","253747","253747","2.63","6"
"March 21","147538","147538","2.90","4"
"March 22","227918","227918","3.00","7"
"March 23","377301","377301","2.98","9"